route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9390,1,5928737,Alemany Boulevard,0,6703,113209
9390,1,5928735,Alemany Boulevard,0,6704,113209
9390,1,5928734,Alemany Boulevard,0,6703,113209
9390,1,5928733,Alemany Boulevard,0,6704,113209
9390,1,5928732,Alemany Boulevard,0,6703,113209
9390,1,5928731,Alemany Boulevard,0,6704,113209
9390,1,5928730,Alemany Boulevard,0,6703,113209
9390,1,5928729,Alemany Boulevard,0,6704,113209
9390,1,5928728,Alemany Boulevard,0,6703,113209
9390,1,5928727,Alemany Boulevard,0,6704,113209
9390,1,5928726,Alemany Boulevard,0,6703,113209
9390,1,5928725,Alemany Boulevard,0,6704,113209
9390,1,5928724,Alemany Boulevard,0,6703,113209
9390,1,5928723,Alemany Boulevard,0,6704,113209
9390,1,5928722,Alemany Boulevard,0,6703,113209
9390,1,5928721,Alemany Boulevard,0,6704,113209
9390,1,5928720,Alemany Boulevard,0,6703,113209
9390,1,5928719,Alemany Boulevard,0,6704,113209
9390,1,5928718,Alemany Boulevard,0,6703,113209
9390,1,5928717,Alemany Boulevard,0,6704,113209
9390,1,5928716,Alemany Boulevard,0,6703,113209
9390,1,5928715,Alemany Boulevard,0,6704,113209
9390,1,5928714,Alemany Boulevard,0,6703,113209
9390,3,5928935,Alemany Boulevard,0,6702,113209
9390,3,5928934,Alemany Boulevard,0,6701,113209
9390,3,5928933,Alemany Boulevard,0,6702,113209
9390,3,5928932,Alemany Boulevard,0,6701,113209
9390,3,5928931,Alemany Boulevard,0,6702,113209
9390,3,5928930,Alemany Boulevard,0,6701,113209
9390,3,5928929,Alemany Boulevard,0,6702,113209
9390,3,5928928,Alemany Boulevard,0,6701,113209
9390,3,5928927,Alemany Boulevard,0,6702,113209
9390,3,5928926,Alemany Boulevard,0,6701,113209
9390,3,5928925,Alemany Boulevard,0,6702,113209
9390,3,5928924,Alemany Boulevard,0,6701,113209
9390,3,5928923,Alemany Boulevard,0,6702,113209
9390,3,5928922,Alemany Boulevard,0,6701,113209
9390,3,5928921,Alemany Boulevard,0,6702,113209
9390,3,5928920,Alemany Boulevard,0,6701,113209
9390,3,5928919,Alemany Boulevard,0,6702,113209
9390,3,5928918,Alemany Boulevard,0,6701,113209
9390,3,5928917,Alemany Boulevard,0,6702,113209
9390,3,5928916,Alemany Boulevard,0,6701,113209
9390,3,5928915,Alemany Boulevard,0,6702,113209
9390,3,5928914,Alemany Boulevard,0,6701,113209
9390,3,5928913,Alemany Boulevard,0,6702,113209
9390,3,5928912,Alemany Boulevard,0,6701,113209
9390,3,5928911,Alemany Boulevard,0,6702,113209
9390,3,5928910,Alemany Boulevard,0,6701,113209
9390,3,5928909,Alemany Boulevard,0,6702,113209
9390,3,5928908,Alemany Boulevard,0,6701,113209
9390,3,5928907,Alemany Boulevard,0,6702,113209
9390,3,5928906,Alemany Boulevard,0,6701,113209
9390,3,5928905,Alemany Boulevard,0,6702,113209
9390,3,5928904,Alemany Boulevard,0,6701,113209
9390,3,5928903,Alemany Boulevard,0,6702,113209
9390,3,5928902,Alemany Boulevard,0,6701,113209
9390,3,5928963,24th Street & Mission,1,6702,113210
9390,3,5928962,24th Street & Mission,1,6701,113210
9390,3,5928961,24th Street & Mission,1,6702,113210
9390,3,5928960,24th Street & Mission,1,6701,113210
9390,3,5928959,24th Street & Mission,1,6702,113210
9390,3,5928958,24th Street & Mission,1,6701,113210
9390,3,5928957,24th Street & Mission,1,6702,113210
9390,3,5928956,24th Street & Mission,1,6701,113210
9390,3,5928955,24th Street & Mission,1,6702,113210
9390,3,5928954,24th Street & Mission,1,6701,113210
